Security,Name,Sector,INDUSTRY,Year,Quarter,Index,Closing Stock Price,SP Volatility,MC RAW,Log MCap,PB RAW,Book to Mkt,ROA,Total Assets,Asset Growth,ESGCombinedScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore,ESG Momentum,ESG Mom-Env,ESG Mom - Gov,ESG Mom - Social
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2015,Q1,2015-Q1,6.82,0.433387817,1161495680,20.87297439,0.864072025,1.157310932,0.975337982,1454.766976,0.088701862,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2015,Q2,2015-Q2,7.9,0.110264833,1348260224,21.02208088,1.056826949,0.946228709,6.892705917,1508.438016,0.036893221,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2015,Q3,2015-Q3,6.97,1.039567218,1189886976,20.89712416,1.226446033,0.815364047,5.044419765,1493.869056,-0.009658309,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2015,Q4,2015-Q4,7.03,1.147094155,1200238592,20.9057862,1.074200034,0.93092531,4.388617992,1518.963968,0.016798602,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2016,Q1,2016-Q1,7.13,0.924770242,1314780160,20.99693531,1.070384979,0.934243304,1.438526034,1517.442944,-0.001001356,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2016,Q2,2016-Q2,7.22,0.224703508,1332163456,21.01007012,1.065816998,0.938247374,2.089612007,1554.140032,0.024183504,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2016,Q3,2016-Q3,9.2,0.5591884,1697906560,21.25266189,1.104765058,0.905169831,0.286285996,1505.22496,-0.031474044,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2016,Q4,2016-Q4,9.12,1.593264469,1683971072,21.24442057,1.39725697,0.715687967,0.364163011,1512.093056,0.004562837,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2017,Q1,2017-Q1,8.78,2.260634129,1623166720,21.20764484,1.393764019,0.717481572,-1.044095039,1496.459008,-0.010339343,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2017,Q2,2017-Q2,8.77,1.825349282,1623263488,21.20770446,1.29708302,0.770960674,0.766138017,1532.509952,0.024090833,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2017,Q3,2017-Q3,7.82,0.807589004,1454174720,21.09770437,1.281309009,0.780451861,3.933618069,1541.741056,0.00602352,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2017,Q4,2017-Q4,5.4,0.953257573,1004201216,20.72745825,1.128872037,0.885839995,4.156062126,1604.752,0.040869992,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2018,Q1,2018-Q1,3.81,1.043946838,708519744,20.37868848,0.765586019,1.306188953,5.962967873,1691.181952,0.053858759,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2018,Q2,2018-Q2,4.11,0.8641518,765294208,20.4557709,0.535504997,1.867396207,3.858980894,1727.054976,0.021211806,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2018,Q3,2018-Q3,3.6,0.257811301,669391680,20.32187992,0.584554017,1.710705891,1.801350951,1706.930944,-0.011652224,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2018,Q4,2018-Q4,1.98,0.457775418,368165440,19.72404296,0.513005972,1.949295047,0.443993986,1720.515968,0.007958743,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2019,Q1,2019-Q1,2.2,0.590592922,409072704,19.82940346,0.276360005,3.618468597,0.613855004,1771.197056,0.029456912,,,,,,,,
